entropy,target_entropy,optimal_lambda
0.73956994307088,1.0,1.0
0.6670535418976244,1.0,1.0
0.5206301953958057,1.0,1.0
0.7815752331404366,1.0,1.0
0.6890770405647065,1.0,1.0
0.6357448999742756,1.0,1.0
0.4314563051274304,1.0,1.0
0.710479363923141,1.0,1.0
0.6622324389709765,1.0,1.0
0.4944626857268796,1.0,1.0
0.6775177273683067,1.0,1.0
0.6851967502465027,1.0,1.0
0.6423141923136564,1.0,1.0
0.4806107090540143,1.0,1.0
0.6754469057945456,1.0,1.0
0.5883184910133565,1.0,1.0
0.5864226312927553,1.0,1.0
0.693567005686692,1.0,1.0
0.7144833094084032,1.0,1.0
0.8349178563569425,1.0,1.0
0.2878030844225385,1.0,1.0
0.662691935145297,1.0,1.0
0.709726638381546,1.0,1.0
0.5313902555104705,1.0,1.0
0.6373722044182881,1.0,1.0
0.7459519553896868,1.0,1.0
0.7493931179391847,1.0,1.0
0.7046328319835327,1.0,1.0
0.6693035558666174,1.0,1.0
0.7374981690210521,1.0,1.0
0.7145981366412827,1.0,1.0
0.6401737312723257,1.0,1.0
0.8069287551970349,1.0,1.0
0.7266963862379031,1.0,1.0
0.7213214393581958,1.0,1.0
0.7018720050294982,1.0,1.0
0.7302260443252472,1.0,1.0
0.6166082229719907,1.0,1.0
0.7604961887566865,1.0,1.0
0.6109681669425896,1.0,1.0
0.6468988749891046,1.0,1.0
0.6771368164263404,1.0,1.0
0.8712459005504111,1.0,1.0
0.5598650269938409,1.0,1.0
0.686263151469514,1.0,1.0
0.8216015038674436,1.0,1.0
0.6212286771798415,1.0,1.0
0.604833813883187,1.0,1.0
0.6095659631657965,1.0,1.0
0.7152821894126565,1.0,1.0
0.6713552872066572,1.0,1.0
0.6825020137746965,1.0,1.0
0.6589946793794962,1.0,1.0
0.8067948024005921,1.0,1.0
0.3777918270738503,1.0,1.0
0.4852768268933439,1.0,1.0
0.6956217153141286,1.0,1.0
0.68651410885722,1.0,1.0
0.44600007384152196,1.0,1.0
0.5367362212353898,1.0,1.0
0.6081447140776363,1.0,1.0
0.7013539339926218,1.0,1.0
0.7528997062365422,1.0,1.0
0.7304338307314974,1.0,1.0
0.3969927904381159,1.0,1.0
0.8037660987724491,1.0,1.0
0.735024687156925,1.0,1.0
0.5379126433314263,1.0,1.0
0.70203708135971,1.0,1.0
0.5533008185611957,1.0,1.0
0.5917162249133073,1.0,1.0
0.6707210138112759,1.0,1.0
0.5423055046152747,1.0,1.0
0.5756901627526484,1.0,1.0
0.6621320507206812,1.0,1.0
0.6073720244227446,1.0,1.0
0.7048662755512035,1.0,1.0
0.7027404513934193,1.0,1.0
0.5105940470895195,1.0,1.0
0.769882058371545,1.0,1.0
0.6442916585600003,1.0,1.0
0.7251421379046205,1.0,1.0
0.6832980043884131,1.0,1.0
0.5920739171711309,1.0,1.0
0.7133351984675778,1.0,1.0
0.6880938338727707,1.0,1.0
0.46005685122004375,1.0,1.0
0.7235054178869357,1.0,1.0
0.7827522083304186,1.0,1.0
0.6752466719306118,1.0,1.0
0.6941957433357446,1.0,1.0
0.8184157877125237,1.0,1.0
0.5580511433995933,1.0,1.0
0.7970068059964643,1.0,1.0
0.5272249210632266,1.0,1.0
0.627321349453693,1.0,1.0
0.6343073827775179,1.0,1.0
0.6571913619038392,1.0,1.0
0.6574509378723261,1.0,1.0
0.5992929926609859,1.0,1.0
